ID,Name,TeamName,Role
1532,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
1771,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
2040,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
2735,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
3002,★ ⑳ TimothyoDaZl,Rush eSports,AWPer
3709,★ ㉑ TimothyoDaZL,Rush eSports,AWPer
3717,★ ㉑ TimothyoDaZL,Rush eSports,AWPer
3727,★ ㉑ TimothyoDaZL,Rush eSports,AWPer
1534,★ ⑳ fbz,Rush eSports,IGL
2038,★ ⑳ fbz,Rush eSports,IGL
2999,★ ⑳ fbz,Rush eSports,IGL
3726,★ ㉑ fbz,Rush eSports,IGL
2515,★ ⑳ ksloks,Rush Youngsters,AWPer
3006,★ ⑳ ke1z,Santos e-Sports,AWPer
3007,★ ⑳ voltera,Santos e-Sports,Entry Fragger
2733,★ ⑳ MaLLby,Santos e-Sports,Lurker
3008,★ ⑳ MaLLby,Santos e-Sports,Lurker
3004,★ ⑳ BobZ,Santos e-Sports,Suporte
4563,★ ⑳ SaNt0S,SELECAO (NO ORG),Entry Fragger
4564,★ ㉑ Ikki,SELECAO (NO ORG),Entry Fragger
4589,★ ㉑ Ikki,SELECAO (NO ORG),Entry Fragger
4561,★ ㉑ pigo,SELECAO (NO ORG),IGL
4597,★ ㉑ pigo,SELECAO (NO ORG),IGL
4560,★ ㉑ netox,SELECAO (NO ORG),Lurker
4588,★ ㉑ netox,SELECAO (NO ORG),Lurker
4562,★ ㉑ short,SELECAO (NO ORG),Suporte
4586,★ ㉑ short,SELECAO (NO ORG),Suporte
24,★ ⑳ BR2DES7DACORO,SEMORG!,AWPer
221,★ ⑳ BR2DES7DACORO,SEMORG!,AWPer
1300,★ ⑳ BR2DES7DACORO,SEMORG!,AWPer
1874,★ ⑳ -luk1N,SEMORG!,Entry Fragger
20,★ ⑳ shut,SEMORG!,IGL
22,★ ⑳ abg,SEMORG!,Lurker
223,★ ⑳ abg,SEMORG!,Lurker
1302,★ ⑳ abg,SEMORG!,Lurker
1873,★ ⑳ abg,SEMORG!,Lurker
3076,★ ⑳ abg,SEMORG!,Lurker
25,★ ⑳ PedrinS3,SEMORG!,Suporte
225,★ ⑳ PedrinS3,SEMORG!,Suporte
1297,★ ⑳ PedrinS3,SEMORG!,Suporte
1868,★ ⑳ PedrinS3,SEMORG!,Suporte
3069,★ ⑳ PedrinS3,SEMORG!,Suporte
269,★ ⑳ king,SEVEN,AWPer
3426,★ ⑳ GdA,SEVEN,Entry Fragger
192,HaroO',SEVEN,Suporte
39,★ ⑳ BALLER,STREAM TEAM,Entry Fragger
1367,★ ⑳ abr,Vivo Keyd,Lurker
1375,★ ⑳ yj2k,Vivo Keyd,Suporte
79,★ ⑳ Raphiita,WAP Esports,AWPer
102,★ ⑳ Raphiita,WAP Esports,AWPer
74,★ ⑳ aguze [t],WAP Esports,Entry Fragger
75,★ ⑳ kouzy-,WAP Esports,Entry Fragger
101,★ ⑳ aguze [t],WAP Esports,Entry Fragger
72,★ ⑳ Farés,WAP Esports,IGL
3,★ ⑳ fawkes,Wolsung (SEM ORG),AWPer
8,★ ⑳ spn,Wolsung (SEM ORG),Entry Fragger
7,★ ⑳ leoox,Wolsung (SEM ORG),IGL
4,★ ⑳ theozin,Wolsung (SEM ORG),Lurker
0,★ ⑳ Rickbraz -ttJ-,Wolsung (SEM ORG),Suporte
2342,★ ⑳ Rickbraz -ttJ-,Wolsung (SEM ORG),Suporte
2383,★ ⑳ Rickbraz -ttJ-,Wolsung (SEM ORG),Suporte
2462,★ ⑳ Rickbraz -ttJ-,Wolsung (SEM ORG),Suporte
3670,★ ⑳ Rickbraz -ttJ-,Wolsung (SEM ORG),Suporte
2479,★ ⑳ oNLyGoDcANJuDGeMe,YAKUZA,AWPer
2483,★ ⑳ LIL,YAKUZA,Entry Fragger
1895,★ ⑳ diegz,YAKUZA,Suporte
