,Role,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,LastAliveQuantity,Clutches,FirstKills,FirstDeaths,FlashedEnemies,FlashAssists,BombsPlanted,WalkQuantityAsTR,DistanceTraveledAsTR,AK47Kills,MAC10Kills,M4A4Kills,MP9Kills,AWPKills,ScoutKills
2954,Suporte,0.18,0.2,0.16,0.16,0.18,0.14,0.5,0.06,0.11,0.35,0.09,0.29,0.2,0.23,0.15,1.0,0.24,0.0,0.0,0.0
43,Entry Fragger,0.21,0.2,0.19,0.19,0.33,0.24,1.0,0.13,0.19,0.08,0.1,0.29,0.23,0.21,0.23,0.0,0.22,0.0,0.0,0.0
1620,Entry Fragger,0.13,0.22,0.13,0.13,0.0,0.25,0.5,0.2,0.12,0.03,0.0,0.0,0.21,0.2,0.26,0.0,0.0,0.0,0.0,0.0
2070,Entry Fragger,0.15,0.19,0.12,0.12,0.0,0.19,1.0,0.0,0.2,0.19,0.12,0.33,0.21,0.2,0.26,0.0,0.0,0.0,0.0,0.0
43,Entry Fragger,0.21,0.2,0.19,0.19,0.33,0.24,1.0,0.13,0.19,0.08,0.1,0.29,0.23,0.21,0.23,0.0,0.22,0.0,0.0,0.0
1620,Entry Fragger,0.13,0.22,0.13,0.13,0.0,0.25,0.5,0.2,0.12,0.03,0.0,0.0,0.21,0.2,0.26,0.0,0.0,0.0,0.0,0.0
2070,Entry Fragger,0.15,0.19,0.12,0.12,0.0,0.19,1.0,0.0,0.2,0.19,0.12,0.33,0.21,0.2,0.26,0.0,0.0,0.0,0.0,0.0
43,Entry Fragger,0.21,0.2,0.19,0.19,0.33,0.24,1.0,0.13,0.19,0.08,0.1,0.29,0.23,0.21,0.23,0.0,0.22,0.0,0.0,0.0
1620,Entry Fragger,0.13,0.22,0.13,0.13,0.0,0.25,0.5,0.2,0.12,0.03,0.0,0.0,0.21,0.2,0.26,0.0,0.0,0.0,0.0,0.0
2070,Entry Fragger,0.15,0.19,0.12,0.12,0.0,0.19,1.0,0.0,0.2,0.19,0.12,0.33,0.21,0.2,0.26,0.0,0.0,0.0,0.0,0.0
41,Lurker,0.16,0.22,0.18,0.18,0.0,0.24,0.0,0.27,0.12,0.29,0.1,0.0,0.22,0.19,0.11,0.0,0.11,0.0,1.0,0.0
240,Lurker,0.27,0.2,0.26,0.26,0.38,0.17,0.0,0.27,0.0,0.19,0.0,0.0,0.21,0.19,0.41,0.0,0.25,0.0,0.0,1.0
617,Lurker,0.25,0.22,0.21,0.21,0.6,0.08,0.0,0.3,0.14,0.38,0.18,0.0,0.2,0.19,0.3,0.33,0.0,0.0,0.4,0.0
1616,Lurker,0.19,0.18,0.22,0.22,0.0,0.31,0.0,0.2,0.25,0.24,0.29,0.0,0.19,0.2,0.32,0.0,0.14,0.0,1.0,0.0
2069,Lurker,0.28,0.19,0.3,0.3,0.0,0.31,0.0,0.6,0.27,0.23,0.0,0.0,0.21,0.2,0.21,1.0,1.0,0.33,0.0,0.0
2922,Lurker,0.21,0.2,0.22,0.22,0.31,0.19,0.0,0.25,0.22,0.1,0.16,0.18,0.22,0.19,0.18,1.0,0.0,0.0,0.33,0.0
41,Lurker,0.16,0.22,0.18,0.18,0.0,0.24,0.0,0.27,0.12,0.29,0.1,0.0,0.22,0.19,0.11,0.0,0.11,0.0,1.0,0.0
240,Lurker,0.27,0.2,0.26,0.26,0.38,0.17,0.0,0.27,0.0,0.19,0.0,0.0,0.21,0.19,0.41,0.0,0.25,0.0,0.0,1.0
617,Lurker,0.25,0.22,0.21,0.21,0.6,0.08,0.0,0.3,0.14,0.38,0.18,0.0,0.2,0.19,0.3,0.33,0.0,0.0,0.4,0.0
1616,Lurker,0.19,0.18,0.22,0.22,0.0,0.31,0.0,0.2,0.25,0.24,0.29,0.0,0.19,0.2,0.32,0.0,0.14,0.0,1.0,0.0
2069,Lurker,0.28,0.19,0.3,0.3,0.0,0.31,0.0,0.6,0.27,0.23,0.0,0.0,0.21,0.2,0.21,1.0,1.0,0.33,0.0,0.0
2922,Lurker,0.21,0.2,0.22,0.22,0.31,0.19,0.0,0.25,0.22,0.1,0.16,0.18,0.22,0.19,0.18,1.0,0.0,0.0,0.33,0.0
41,Lurker,0.16,0.22,0.18,0.18,0.0,0.24,0.0,0.27,0.12,0.29,0.1,0.0,0.22,0.19,0.11,0.0,0.11,0.0,1.0,0.0
240,Lurker,0.27,0.2,0.26,0.26,0.38,0.17,0.0,0.27,0.0,0.19,0.0,0.0,0.21,0.19,0.41,0.0,0.25,0.0,0.0,1.0
617,Lurker,0.25,0.22,0.21,0.21,0.6,0.08,0.0,0.3,0.14,0.38,0.18,0.0,0.2,0.19,0.3,0.33,0.0,0.0,0.4,0.0
1616,Lurker,0.19,0.18,0.22,0.22,0.0,0.31,0.0,0.2,0.25,0.24,0.29,0.0,0.19,0.2,0.32,0.0,0.14,0.0,1.0,0.0
2069,Lurker,0.28,0.19,0.3,0.3,0.0,0.31,0.0,0.6,0.27,0.23,0.0,0.0,0.21,0.2,0.21,1.0,1.0,0.33,0.0,0.0
2922,Lurker,0.21,0.2,0.22,0.22,0.31,0.19,0.0,0.25,0.22,0.1,0.16,0.18,0.22,0.19,0.18,1.0,0.0,0.0,0.33,0.0
41,Lurker,0.16,0.22,0.18,0.18,0.0,0.24,0.0,0.27,0.12,0.29,0.1,0.0,0.22,0.19,0.11,0.0,0.11,0.0,1.0,0.0
240,Lurker,0.27,0.2,0.26,0.26,0.38,0.17,0.0,0.27,0.0,0.19,0.0,0.0,0.21,0.19,0.41,0.0,0.25,0.0,0.0,1.0
617,Lurker,0.25,0.22,0.21,0.21,0.6,0.08,0.0,0.3,0.14,0.38,0.18,0.0,0.2,0.19,0.3,0.33,0.0,0.0,0.4,0.0
1616,Lurker,0.19,0.18,0.22,0.22,0.0,0.31,0.0,0.2,0.25,0.24,0.29,0.0,0.19,0.2,0.32,0.0,0.14,0.0,1.0,0.0
2069,Lurker,0.28,0.19,0.3,0.3,0.0,0.31,0.0,0.6,0.27,0.23,0.0,0.0,0.21,0.2,0.21,1.0,1.0,0.33,0.0,0.0
2922,Lurker,0.21,0.2,0.22,0.22,0.31,0.19,0.0,0.25,0.22,0.1,0.16,0.18,0.22,0.19,0.18,1.0,0.0,0.0,0.33,0.0
41,Lurker,0.16,0.22,0.18,0.18,0.0,0.24,0.0,0.27,0.12,0.29,0.1,0.0,0.22,0.19,0.11,0.0,0.11,0.0,1.0,0.0
240,Lurker,0.27,0.2,0.26,0.26,0.38,0.17,0.0,0.27,0.0,0.19,0.0,0.0,0.21,0.19,0.41,0.0,0.25,0.0,0.0,1.0
617,Lurker,0.25,0.22,0.21,0.21,0.6,0.08,0.0,0.3,0.14,0.38,0.18,0.0,0.2,0.19,0.3,0.33,0.0,0.0,0.4,0.0
1616,Lurker,0.19,0.18,0.22,0.22,0.0,0.31,0.0,0.2,0.25,0.24,0.29,0.0,0.19,0.2,0.32,0.0,0.14,0.0,1.0,0.0
2069,Lurker,0.28,0.19,0.3,0.3,0.0,0.31,0.0,0.6,0.27,0.23,0.0,0.0,0.21,0.2,0.21,1.0,1.0,0.33,0.0,0.0
2922,Lurker,0.21,0.2,0.22,0.22,0.31,0.19,0.0,0.25,0.22,0.1,0.16,0.18,0.22,0.19,0.18,1.0,0.0,0.0,0.33,0.0
41,Lurker,0.16,0.22,0.18,0.18,0.0,0.24,0.0,0.27,0.12,0.29,0.1,0.0,0.22,0.19,0.11,0.0,0.11,0.0,1.0,0.0
240,Lurker,0.27,0.2,0.26,0.26,0.38,0.17,0.0,0.27,0.0,0.19,0.0,0.0,0.21,0.19,0.41,0.0,0.25,0.0,0.0,1.0
617,Lurker,0.25,0.22,0.21,0.21,0.6,0.08,0.0,0.3,0.14,0.38,0.18,0.0,0.2,0.19,0.3,0.33,0.0,0.0,0.4,0.0
1616,Lurker,0.19,0.18,0.22,0.22,0.0,0.31,0.0,0.2,0.25,0.24,0.29,0.0,0.19,0.2,0.32,0.0,0.14,0.0,1.0,0.0
2069,Lurker,0.28,0.19,0.3,0.3,0.0,0.31,0.0,0.6,0.27,0.23,0.0,0.0,0.21,0.2,0.21,1.0,1.0,0.33,0.0,0.0
2922,Lurker,0.21,0.2,0.22,0.22,0.31,0.19,0.0,0.25,0.22,0.1,0.16,0.18,0.22,0.19,0.18,1.0,0.0,0.0,0.33,0.0
44,Suporte,0.15,0.2,0.17,0.17,0.33,0.18,0.0,0.27,0.31,0.21,0.3,0.0,0.22,0.19,0.06,1.0,0.22,1.0,0.0,0.0
239,Suporte,0.19,0.21,0.21,0.21,0.25,0.25,0.0,0.2,0.4,0.22,0.0,0.17,0.18,0.18,0.19,0.0,0.0,0.0,0.0,0.0
621,Suporte,0.13,0.19,0.13,0.13,0.2,0.08,0.0,0.3,0.5,0.33,0.18,0.0,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.0
1619,Suporte,0.24,0.19,0.22,0.22,1.0,0.19,0.5,0.2,0.19,0.21,0.14,0.25,0.2,0.19,0.11,0.0,0.43,1.0,0.0,0.0
2071,Suporte,0.22,0.21,0.23,0.23,0.33,0.31,0.0,0.0,0.27,0.15,0.12,0.0,0.2,0.19,0.32,0.0,0.0,0.33,0.0,0.0
2921,Suporte,0.2,0.21,0.2,0.2,0.08,0.12,0.0,0.2,0.11,0.35,0.21,0.09,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
44,Suporte,0.15,0.2,0.17,0.17,0.33,0.18,0.0,0.27,0.31,0.21,0.3,0.0,0.22,0.19,0.06,1.0,0.22,1.0,0.0,0.0
239,Suporte,0.19,0.21,0.21,0.21,0.25,0.25,0.0,0.2,0.4,0.22,0.0,0.17,0.18,0.18,0.19,0.0,0.0,0.0,0.0,0.0
621,Suporte,0.13,0.19,0.13,0.13,0.2,0.08,0.0,0.3,0.5,0.33,0.18,0.0,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.0
1619,Suporte,0.24,0.19,0.22,0.22,1.0,0.19,0.5,0.2,0.19,0.21,0.14,0.25,0.2,0.19,0.11,0.0,0.43,1.0,0.0,0.0
2071,Suporte,0.22,0.21,0.23,0.23,0.33,0.31,0.0,0.0,0.27,0.15,0.12,0.0,0.2,0.19,0.32,0.0,0.0,0.33,0.0,0.0
2921,Suporte,0.2,0.21,0.2,0.2,0.08,0.12,0.0,0.2,0.11,0.35,0.21,0.09,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
44,Suporte,0.15,0.2,0.17,0.17,0.33,0.18,0.0,0.27,0.31,0.21,0.3,0.0,0.22,0.19,0.06,1.0,0.22,1.0,0.0,0.0
239,Suporte,0.19,0.21,0.21,0.21,0.25,0.25,0.0,0.2,0.4,0.22,0.0,0.17,0.18,0.18,0.19,0.0,0.0,0.0,0.0,0.0
621,Suporte,0.13,0.19,0.13,0.13,0.2,0.08,0.0,0.3,0.5,0.33,0.18,0.0,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.0
1619,Suporte,0.24,0.19,0.22,0.22,1.0,0.19,0.5,0.2,0.19,0.21,0.14,0.25,0.2,0.19,0.11,0.0,0.43,1.0,0.0,0.0
2071,Suporte,0.22,0.21,0.23,0.23,0.33,0.31,0.0,0.0,0.27,0.15,0.12,0.0,0.2,0.19,0.32,0.0,0.0,0.33,0.0,0.0
2921,Suporte,0.2,0.21,0.2,0.2,0.08,0.12,0.0,0.2,0.11,0.35,0.21,0.09,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
44,Suporte,0.15,0.2,0.17,0.17,0.33,0.18,0.0,0.27,0.31,0.21,0.3,0.0,0.22,0.19,0.06,1.0,0.22,1.0,0.0,0.0
239,Suporte,0.19,0.21,0.21,0.21,0.25,0.25,0.0,0.2,0.4,0.22,0.0,0.17,0.18,0.18,0.19,0.0,0.0,0.0,0.0,0.0
621,Suporte,0.13,0.19,0.13,0.13,0.2,0.08,0.0,0.3,0.5,0.33,0.18,0.0,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.0
1619,Suporte,0.24,0.19,0.22,0.22,1.0,0.19,0.5,0.2,0.19,0.21,0.14,0.25,0.2,0.19,0.11,0.0,0.43,1.0,0.0,0.0
2071,Suporte,0.22,0.21,0.23,0.23,0.33,0.31,0.0,0.0,0.27,0.15,0.12,0.0,0.2,0.19,0.32,0.0,0.0,0.33,0.0,0.0
2921,Suporte,0.2,0.21,0.2,0.2,0.08,0.12,0.0,0.2,0.11,0.35,0.21,0.09,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
44,Suporte,0.15,0.2,0.17,0.17,0.33,0.18,0.0,0.27,0.31,0.21,0.3,0.0,0.22,0.19,0.06,1.0,0.22,1.0,0.0,0.0
239,Suporte,0.19,0.21,0.21,0.21,0.25,0.25,0.0,0.2,0.4,0.22,0.0,0.17,0.18,0.18,0.19,0.0,0.0,0.0,0.0,0.0
621,Suporte,0.13,0.19,0.13,0.13,0.2,0.08,0.0,0.3,0.5,0.33,0.18,0.0,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.0
1619,Suporte,0.24,0.19,0.22,0.22,1.0,0.19,0.5,0.2,0.19,0.21,0.14,0.25,0.2,0.19,0.11,0.0,0.43,1.0,0.0,0.0
2071,Suporte,0.22,0.21,0.23,0.23,0.33,0.31,0.0,0.0,0.27,0.15,0.12,0.0,0.2,0.19,0.32,0.0,0.0,0.33,0.0,0.0
2921,Suporte,0.2,0.21,0.2,0.2,0.08,0.12,0.0,0.2,0.11,0.35,0.21,0.09,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
44,Suporte,0.15,0.2,0.17,0.17,0.33,0.18,0.0,0.27,0.31,0.21,0.3,0.0,0.22,0.19,0.06,1.0,0.22,1.0,0.0,0.0
239,Suporte,0.19,0.21,0.21,0.21,0.25,0.25,0.0,0.2,0.4,0.22,0.0,0.17,0.18,0.18,0.19,0.0,0.0,0.0,0.0,0.0
621,Suporte,0.13,0.19,0.13,0.13,0.2,0.08,0.0,0.3,0.5,0.33,0.18,0.0,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.0
1619,Suporte,0.24,0.19,0.22,0.22,1.0,0.19,0.5,0.2,0.19,0.21,0.14,0.25,0.2,0.19,0.11,0.0,0.43,1.0,0.0,0.0
2071,Suporte,0.22,0.21,0.23,0.23,0.33,0.31,0.0,0.0,0.27,0.15,0.12,0.0,0.2,0.19,0.32,0.0,0.0,0.33,0.0,0.0
2921,Suporte,0.2,0.21,0.2,0.2,0.08,0.12,0.0,0.2,0.11,0.35,0.21,0.09,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2357,Entry Fragger,0.12,0.26,0.16,0.16,0.06,0.12,0.0,0.06,0.14,0.15,0.31,0.67,0.19,0.21,0.13,0.0,0.33,0.09,0.0,0.0
2389,Entry Fragger,0.13,0.26,0.17,0.17,0.13,0.0,0.0,0.33,0.33,0.14,0.1,0.12,0.2,0.21,0.16,0.33,0.33,0.0,0.0,0.0
3809,AWPer,0.23,0.16,0.24,0.24,0.15,0.09,0.0,0.25,0.21,0.22,0.29,0.0,0.22,0.2,0.18,0.0,0.15,0.75,1.0,0.0
4080,AWPer,0.15,0.21,0.15,0.15,0.12,0.11,0.0,0.29,0.23,0.23,0.0,0.09,0.16,0.18,0.09,0.0,0.06,0.0,0.3,0.0
4421,AWPer,0.23,0.2,0.21,0.21,0.22,0.43,1.0,0.29,0.24,0.31,0.25,0.12,0.21,0.2,0.11,0.0,0.03,0.0,0.95,0.0
3807,Entry Fragger,0.2,0.26,0.18,0.18,0.31,0.18,0.33,0.31,0.29,0.04,0.14,0.17,0.21,0.21,0.2,0.0,0.23,0.0,0.0,0.0
4084,Entry Fragger,0.18,0.16,0.18,0.18,0.0,0.11,0.0,0.29,0.15,0.21,0.33,0.09,0.21,0.2,0.23,0.0,0.12,0.0,0.1,0.0
4420,Entry Fragger,0.18,0.19,0.18,0.18,0.22,0.1,0.0,0.21,0.24,0.07,0.25,0.12,0.22,0.21,0.18,0.0,0.31,0.0,0.0,0.0
3805,Lurker,0.25,0.16,0.25,0.25,0.15,0.36,0.67,0.06,0.21,0.0,0.0,0.17,0.2,0.21,0.22,0.0,0.38,0.25,0.0,0.0
4081,Lurker,0.18,0.21,0.21,0.21,0.0,0.33,0.0,0.07,0.08,0.16,0.17,0.09,0.22,0.19,0.2,0.0,0.19,0.0,0.1,0.33
4423,Lurker,0.24,0.19,0.25,0.25,0.33,0.05,0.0,0.21,0.24,0.3,0.25,0.25,0.22,0.21,0.3,0.0,0.34,0.0,0.0,0.0
2359,Suporte,0.2,0.21,0.18,0.18,0.27,0.6,1.0,0.13,0.29,0.03,0.0,0.12,0.19,0.19,0.17,0.0,0.0,0.0,0.36,1.0
2436,Suporte,0.23,0.21,0.21,0.21,0.21,0.29,0.0,0.31,0.18,0.47,0.0,0.0,0.19,0.19,0.11,0.0,0.18,0.11,0.9,1.0
2631,Suporte,0.25,0.17,0.23,0.23,0.36,0.19,0.5,0.2,0.22,0.4,0.38,0.09,0.19,0.19,0.17,1.0,0.1,0.2,1.0,1.0
26,Entry Fragger,0.21,0.2,0.23,0.23,0.43,0.12,0.0,0.07,0.23,0.08,0.0,0.5,0.19,0.19,0.12,0.0,0.39,0.0,0.0,0.0
1030,Entry Fragger,0.2,0.21,0.27,0.27,0.0,0.13,0.0,0.29,0.09,0.0,0.0,0.0,0.18,0.2,0.0,0.0,0.13,0.29,0.0,0.0
1825,Entry Fragger,0.18,0.23,0.23,0.23,0.17,0.12,0.0,0.14,0.0,0.27,0.0,0.5,0.1,0.24,0.12,0.0,0.26,0.0,0.0,0.0
2844,Entry Fragger,0.26,0.21,0.26,0.26,0.25,0.27,0.0,0.5,0.08,0.33,0.0,0.33,0.19,0.21,0.0,1.0,0.38,0.4,0.0,0.0
3448,Entry Fragger,0.26,0.19,0.25,0.25,0.18,0.25,0.0,0.15,0.06,0.29,0.43,0.0,0.18,0.2,0.37,0.0,0.29,0.0,0.0,0.0
28,Entry Fragger,0.13,0.21,0.16,0.16,0.0,0.25,0.0,0.07,0.31,0.58,0.4,0.33,0.2,0.21,0.31,0.0,0.11,0.67,0.0,0.0
1031,Entry Fragger,0.2,0.21,0.19,0.19,1.0,0.27,0.0,0.0,0.18,0.0,0.0,0.0,0.26,0.19,0.0,0.0,0.2,0.43,0.0,0.0
1823,Entry Fragger,0.19,0.19,0.18,0.18,0.33,0.12,0.0,0.29,0.0,0.12,0.0,0.0,0.23,0.1,0.38,0.0,0.11,0.0,0.0,0.0
2846,Entry Fragger,0.12,0.21,0.12,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.33,0.23,0.2,0.0,0.0,0.15,0.2,0.0,0.0
3449,Entry Fragger,0.2,0.19,0.23,0.23,0.27,0.06,0.5,0.08,0.19,0.19,0.0,0.1,0.24,0.22,0.18,0.33,0.14,0.67,0.0,0.0
29,Entry Fragger,0.22,0.18,0.21,0.21,0.29,0.19,0.0,0.27,0.08,0.15,0.0,0.17,0.19,0.2,0.06,0.0,0.06,0.33,0.0,1.0
25,Lurker,0.15,0.22,0.14,0.14,0.0,0.25,1.0,0.07,0.31,0.08,0.4,0.0,0.19,0.18,0.06,0.0,0.06,0.0,0.78,0.0
1034,Lurker,0.24,0.18,0.25,0.25,0.0,0.2,0.0,0.14,0.09,0.11,1.0,0.0,0.17,0.21,0.67,0.0,0.2,0.29,0.25,0.0
1826,Lurker,0.19,0.2,0.22,0.22,0.33,0.25,0.0,0.14,0.11,0.08,0.0,0.5,0.2,0.39,0.06,0.0,0.11,0.0,0.4,1.0
2845,Lurker,0.16,0.2,0.19,0.19,0.25,0.13,1.0,0.12,0.23,0.06,0.43,0.0,0.18,0.18,0.0,0.0,0.04,0.0,0.14,1.0
3445,Lurker,0.16,0.23,0.17,0.17,0.27,0.31,0.0,0.15,0.38,0.24,0.43,0.2,0.18,0.19,0.16,0.0,0.29,0.0,0.0,0.0
31,AWPer,0.26,0.19,0.23,0.23,0.33,0.56,0.0,0.2,0.09,0.26,0.5,0.3,0.14,0.19,0.2,0.0,0.2,0.0,0.82,0.0
2665,AWPer,0.15,0.21,0.15,0.15,0.17,0.25,0.0,0.07,0.31,0.2,1.0,0.12,0.17,0.21,0.0,0.0,0.0,0.0,0.7,0.0
3420,AWPer,0.22,0.18,0.2,0.2,0.24,0.28,0.0,0.44,0.1,0.24,0.2,0.1,0.15,0.19,0.06,0.0,0.08,0.0,0.93,1.0
3884,AWPer,0.21,0.19,0.19,0.19,0.27,0.23,0.0,0.31,0.2,0.33,0.56,0.0,0.16,0.19,0.0,0.0,0.0,0.0,0.95,0.0
4010,AWPer,0.19,0.2,0.2,0.2,0.12,0.06,0.0,0.17,0.29,0.24,0.5,0.0,0.18,0.2,0.0,0.0,0.0,0.0,0.65,0.0
4190,AWPer,0.21,0.2,0.17,0.17,0.21,0.21,0.0,0.4,0.38,0.13,0.22,0.1,0.18,0.21,0.02,0.0,1.0,0.0,1.0,0.0
4351,AWPer,0.24,0.21,0.23,0.23,0.38,0.36,0.0,0.53,0.21,0.12,0.22,0.0,0.16,0.19,0.15,0.0,0.0,0.18,0.93,0.0
3817,AWPer,0.28,0.14,0.22,0.22,0.29,0.46,0.5,0.21,0.17,0.36,0.57,0.25,0.16,0.18,0.19,0.0,0.0,0.0,1.0,0.0
3963,AWPer,0.25,0.16,0.24,0.24,0.44,0.25,0.0,0.25,0.27,0.15,0.12,0.22,0.17,0.19,0.03,0.5,0.09,0.0,0.91,0.0
4323,AWPer,0.22,0.2,0.19,0.19,0.11,0.35,0.5,0.31,0.31,0.45,0.4,0.2,0.18,0.19,0.23,0.0,0.05,0.0,0.7,0.0
4530,AWPer,0.21,0.19,0.2,0.2,0.25,0.4,0.0,0.11,0.18,0.33,0.75,0.11,0.18,0.18,0.2,0.0,0.0,0.0,0.67,0.0
4556,AWPer,0.25,0.19,0.23,0.23,0.0,0.19,0.0,0.25,0.18,0.0,0.0,0.0,0.19,0.22,0.0,0.0,0.0,0.0,1.0,0.0
3817,AWPer,0.28,0.14,0.22,0.22,0.29,0.46,0.5,0.21,0.17,0.36,0.57,0.25,0.16,0.18,0.19,0.0,0.0,0.0,1.0,0.0
