,Role,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,LastAliveQuantity,Clutches,FirstKills,FirstDeaths,FlashedEnemies,FlashAssists,BombsPlanted,WalkQuantityAsTR,DistanceTraveledAsTR,AK47Kills,MAC10Kills,M4A4Kills,MP9Kills,AWPKills,ScoutKills
58,Entry Fragger,0.2,0.21,0.18,0.18,0.19,0.27,0.33,0.12,0.08,0.12,0.0,0.5,0.2,0.21,0.46,0.0,0.12,0.0,0.0,0.0
257,Entry Fragger,0.17,0.22,0.22,0.22,0.06,0.25,0.0,0.17,0.24,0.11,0.0,0.17,0.2,0.21,0.14,0.0,0.22,0.75,0.0,1.0
807,Entry Fragger,0.31,0.16,0.3,0.3,0.45,1.0,1.0,0.38,0.11,0.17,0.5,0.8,0.23,0.24,0.3,0.0,0.39,0.0,0.0,0.0
1481,Entry Fragger,0.16,0.21,0.19,0.19,0.2,0.28,0.0,0.27,0.21,0.05,0.14,0.36,0.19,0.22,0.22,0.0,0.1,0.0,0.0,0.0
1892,Entry Fragger,0.16,0.21,0.18,0.18,0.21,0.14,0.0,0.28,0.08,0.12,0.25,0.2,0.22,0.22,0.16,0.5,0.19,0.0,0.62,0.0
3249,Entry Fragger,0.14,0.19,0.15,0.15,0.08,0.18,0.0,0.07,0.14,0.36,1.0,0.4,0.2,0.2,0.0,1.0,0.05,0.67,0.5,0.0
57,Lurker,0.15,0.21,0.16,0.16,0.0,0.27,0.0,0.12,0.33,0.09,0.14,0.0,0.2,0.19,0.12,0.0,0.09,0.0,1.0,0.0
259,Lurker,0.17,0.19,0.15,0.15,0.06,0.25,0.0,0.09,0.16,0.29,0.29,0.08,0.19,0.21,0.15,0.5,0.19,0.0,0.2,0.0
804,Lurker,0.14,0.21,0.13,0.13,0.09,0.0,0.0,0.25,0.22,0.17,0.0,0.2,0.19,0.22,0.05,0.0,0.09,0.0,0.2,0.0
1483,Lurker,0.19,0.21,0.17,0.17,0.3,0.22,0.0,0.2,0.14,0.19,0.43,0.18,0.24,0.2,0.17,0.0,0.3,0.0,0.0,0.0
1888,Lurker,0.18,0.2,0.18,0.18,0.29,0.36,0.5,0.22,0.31,0.39,0.12,0.3,0.2,0.19,0.16,0.5,0.24,0.0,0.0,0.0
13,AWPer,0.14,0.2,0.13,0.13,0.0,0.29,0.0,0.11,0.13,0.19,0.08,0.4,0.19,0.19,0.04,0.0,1.0,0.2,0.0,0.0
498,AWPer,0.19,0.2,0.18,0.18,0.25,0.13,0.0,0.12,0.2,0.09,0.14,0.33,0.2,0.2,0.15,0.0,0.14,0.5,0.0,0.0
920,AWPer,0.16,0.19,0.19,0.19,0.17,0.25,0.0,0.07,0.0,0.1,0.12,0.38,0.24,0.2,0.07,0.0,0.36,0.0,0.0,0.0
2059,AWPer,0.24,0.21,0.22,0.22,0.17,0.29,0.0,0.14,0.25,0.18,0.11,0.0,0.21,0.19,0.24,0.0,0.4,0.0,0.0,0.0
2958,AWPer,0.21,0.23,0.23,0.23,0.27,0.0,0.0,0.12,0.11,0.06,0.27,0.43,0.15,0.2,0.27,0.0,0.41,0.0,0.0,0.0
14,Entry Fragger,0.21,0.19,0.22,0.22,0.6,0.18,0.0,0.33,0.27,0.09,0.38,0.0,0.22,0.2,0.21,0.0,0.0,0.2,0.0,0.0
500,Entry Fragger,0.2,0.22,0.2,0.2,0.0,0.07,0.0,0.19,0.2,0.12,0.0,0.5,0.22,0.21,0.25,0.0,0.14,0.0,0.0,0.0
921,Entry Fragger,0.16,0.23,0.19,0.19,0.17,0.12,0.0,0.33,0.33,0.08,0.12,0.12,0.18,0.18,0.3,0.0,0.0,0.5,0.0,0.0
2061,Entry Fragger,0.18,0.21,0.21,0.21,0.0,0.07,0.0,0.14,0.25,0.15,0.11,0.0,0.2,0.21,0.35,0.0,0.0,0.0,0.0,0.0
2955,Entry Fragger,0.17,0.18,0.18,0.18,0.09,0.29,0.0,0.12,0.0,0.08,0.0,0.14,0.21,0.19,0.15,0.0,0.0,0.0,0.0,0.0
12,Lurker,0.16,0.22,0.18,0.18,0.0,0.06,0.0,0.33,0.47,0.12,0.0,0.0,0.18,0.19,0.29,0.0,0.0,0.2,0.0,0.0
501,Lurker,0.26,0.23,0.24,0.24,0.25,0.07,0.0,0.38,0.3,0.15,0.14,0.0,0.2,0.2,0.35,0.0,0.29,0.5,0.0,0.0
923,Lurker,0.19,0.27,0.19,0.19,0.25,0.25,0.0,0.2,0.44,0.08,0.25,0.0,0.19,0.21,0.3,0.0,0.0,0.0,0.0,0.0
2062,Lurker,0.15,0.22,0.15,0.15,0.17,0.21,0.0,0.29,0.25,0.1,0.0,0.0,0.2,0.21,0.12,0.0,0.4,0.0,0.0,0.0
2956,Lurker,0.29,0.2,0.27,0.27,0.45,0.29,0.5,0.38,0.56,0.25,0.27,0.14,0.2,0.19,0.38,0.0,0.35,0.0,0.0,0.0
11,Suporte,0.17,0.22,0.19,0.19,0.2,0.12,0.0,0.11,0.07,0.5,0.38,0.0,0.21,0.21,0.25,0.0,0.0,0.2,0.0,0.0
497,Suporte,0.19,0.21,0.21,0.21,0.38,0.4,0.0,0.12,0.3,0.37,0.57,0.17,0.18,0.19,0.05,0.0,0.43,0.0,0.29,0.0
924,Suporte,0.24,0.15,0.23,0.23,0.17,0.25,1.0,0.2,0.0,0.38,0.38,0.38,0.16,0.22,0.27,1.0,0.45,0.5,0.0,0.0
2058,Suporte,0.16,0.2,0.17,0.17,0.17,0.21,0.5,0.29,0.0,0.39,0.44,0.0,0.2,0.2,0.24,0.0,0.0,0.0,0.17,0.0
