,Role,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,LastAliveQuantity,Clutches,FirstKills,FirstDeaths,FlashedEnemies,FlashAssists,BombsPlanted,WalkQuantityAsTR,DistanceTraveledAsTR,AK47Kills,MAC10Kills,M4A4Kills,MP9Kills,AWPKills,ScoutKills
523,Entry Fragger,0.16,0.24,0.17,0.17,0.3,0.0,0.0,0.23,0.31,0.05,0.11,0.08,0.21,0.21,0.0,1.0,0.17,0.67,0.0,0.0
1464,Entry Fragger,0.27,0.21,0.28,0.28,0.25,0.14,0.0,0.22,0.18,0.11,0.0,0.0,0.27,0.19,0.31,0.0,0.33,0.0,0.0,0.0
1924,Entry Fragger,0.15,0.22,0.17,0.17,0.07,0.15,0.0,0.24,0.08,0.0,0.0,0.22,0.19,0.19,0.23,0.0,0.2,0.0,0.0,0.0
2595,Entry Fragger,0.16,0.19,0.15,0.15,0.0,0.17,0.0,0.13,0.2,0.02,0.0,0.0,0.19,0.19,0.19,0.0,0.22,0.0,0.0,0.0
3088,Entry Fragger,0.25,0.23,0.25,0.25,0.38,0.36,1.0,0.27,0.09,0.08,0.25,0.4,0.23,0.21,0.19,0.0,0.17,0.27,0.0,0.0
526,Suporte,0.26,0.19,0.24,0.24,0.2,0.25,0.25,0.23,0.38,0.49,0.33,0.25,0.19,0.19,0.37,0.0,0.33,0.33,0.0,0.0
1465,Suporte,0.19,0.2,0.19,0.19,0.0,0.0,0.0,0.11,0.09,0.33,0.14,0.0,0.25,0.21,0.08,0.0,0.33,1.0,0.0,0.0
1927,Suporte,0.34,0.17,0.32,0.32,0.4,0.15,0.0,0.18,0.33,0.32,0.25,0.11,0.19,0.2,0.26,0.6,0.64,0.5,0.38,0.0
2594,Suporte,0.21,0.2,0.24,0.24,0.38,0.09,0.0,0.22,0.3,0.18,0.0,0.46,0.21,0.22,0.3,0.0,0.3,0.67,0.04,0.0
3084,Suporte,0.21,0.19,0.22,0.22,0.12,0.18,0.0,0.07,0.18,0.43,0.12,0.4,0.21,0.2,0.15,0.0,0.3,0.55,0.1,0.0
525,Lurker,0.22,0.19,0.23,0.23,0.2,0.33,0.5,0.23,0.15,0.11,0.22,0.0,0.21,0.2,0.37,0.0,0.11,0.0,0.0,0.0
